开间,进深,层高,北侧窗台高,北侧窗高,北侧窗墙比,南侧窗墙比,南侧窗高,南侧窗台高,南侧窗间距,CEUI,DGI,UDI
7.7,7.8,3.1,1.29,1.4,0.19,0.2,1.42,1.17,4.2,21.406172,18.747431,59.245216
7.6,7.8,3.1,1.27,1.41,0.22,0.2,1.75,0.91,4.19,20.775995,18.778086,58.517175
7.7,7.8,3.1,1.29,1.4,0.15,0.2,1.4,0.92,3.94,21.457809,18.644804,54.752519
7.6,7.8,3.1,1.28,1.4,0.16,0.2,1.53,0.92,4.2,21.223677,18.693258,55.45389
7.6,7.8,3.1,1.27,1.4,0.19,0.2,1.4,1.15,4.19,21.387197,18.756481,59.196117
7.7,7.8,3.1,1.28,1.4,0.15,0.2,1.43,1.18,4.08,21.719034,18.635036,58.159823
7.5,7.7,3.3,1.29,1.56,0.23,0.2,1.77,1.1,4.19,20.69137,19.018,60.233707
7.6,7.8,3.1,1.29,1.4,0.22,0.2,1.41,1.18,4.2,21.241671,18.805843,60.201072
7.6,7.8,3.1,1.28,1.4,0.22,0.21,1.45,1.18,0.98,21.785669,18.928978,61.319598
7.9,7.8,3.1,1.28,1.4,0.22,0.2,1.45,1.16,0.98,21.738779,18.863258,60.860568
7.6,7.8,3.1,1.28,1.4,0.18,0.2,1.4,1.18,4.19,21.469694,18.745262,59.287366
7.8,7.8,3.1,1.28,1.4,0.19,0.2,1.75,0.91,4.2,21.083527,18.701086,57.385516
7.6,7.8,3.1,1.28,1.4,0.21,0.2,1.43,1.19,0.98,21.888269,18.893843,61.459038
7.6,7.8,3.1,1.29,1.4,0.16,0.2,1.44,0.92,4.19,21.231325,18.676369,55.282216
7.6,7.7,3.3,1.29,1.56,0.22,0.2,1.77,1.1,4.19,20.755899,18.988581,59.830083
7.6,7.8,3.1,1.29,1.4,0.19,0.2,1.47,1.12,0.9,21.953325,18.84594,60.90134
7.5,7.7,3.3,1.3,1.56,0.22,0.2,1.75,1.1,4.19,20.725313,19.006222,59.991601
7.5,7.8,3.2,1.3,1.4,0.2,0.2,1.71,1.02,4.17,20.920979,18.854681,59.301429
7.6,7.8,3.1,1.28,1.4,0.22,0.2,1.45,1.16,0.91,21.828653,18.902983,61.508181
7.6,7.8,3.1,1.29,1.4,0.22,0.2,1.43,1.18,0.98,21.852318,18.90576,61.667489
7.5,7.8,3.1,1.28,1.41,0.22,0.2,1.44,1.15,4.19,21.131199,18.812956,60.172092
7.6,7.8,3.3,1.29,1.47,0.22,0.2,1.77,1.1,4.19,20.851715,18.953125,60.448528
8.5,7.8,3.1,1.29,1.4,0.22,0.2,1.47,1.18,4.2,21.516813,18.678835,59.491939
7.6,7.8,3.1,1.28,1.4,0.19,0.2,1.75,0.92,4.2,20.892199,18.738745,57.240985
7.8,7.8,3.1,1.28,1.41,0.16,0.2,1.45,0.98,4.2,21.45488,18.654142,56.363431
7.8,7.8,3.1,1.28,1.4,0.19,0.2,1.75,0.92,4.2,21.092068,18.701523,57.441553
7.6,7.8,3.1,1.28,1.4,0.21,0.2,1.43,1.13,0.98,21.842899,18.882975,61.053788
7.5,7.7,3.3,1.3,1.56,0.22,0.2,1.74,1.09,4.19,20.72307,19.005503,59.873069
7.6,7.8,3.1,1.28,1.4,0.22,0.2,1.44,1.2,0.91,21.870676,18.898096,61.816159
7.7,7.8,3.1,1.29,1.4,0.16,0.2,1.44,0.91,4.2,21.313501,18.668226,55.4293
7.7,7.8,3.1,1.29,1.4,0.16,0.2,1.44,1.18,4.2,21.626844,18.667259,58.496636
7.8,7.8,3.1,1.28,1.4,0.22,0.2,1.7,0.9,4.2,21.008335,18.743881,58.295441
7.8,7.8,3.1,1.29,1.4,0.18,0.2,1.45,0.92,4.19,21.292898,18.684498,56.621935
7.9,7.8,3.1,1.28,1.4,0.21,0.2,1.46,1.16,0.98,21.746197,18.843336,60.738581
7.6,7.8,3.1,1.29,1.4,0.22,0.2,1.44,1.23,0.91,21.915571,18.902523,62.243247
7.6,7.8,3.1,1.28,1.4,0.22,0.2,1.5,1.16,1.64,21.666117,18.877066,60.979328
7.9,7.8,3.1,1.28,1.4,0.16,0.2,1.46,1.16,3.78,21.561035,18.642698,57.563896
7.7,7.8,3.4,1.25,1.72,0.22,0.2,1.95,1.04,3.94,20.587242,19.031818,60.121445
7.5,7.8,3.4,1.26,1.72,0.23,0.2,1.84,1.12,3.94,20.606258,19.083403,61.087355
7.5,7.7,3.1,1.28,1.4,0.22,0.2,1.7,0.9,4.2,20.667715,18.846054,58.132775
7.7,7.8,3.1,1.28,1.4,0.16,0.2,1.5,0.95,4.2,21.319117,18.672924,55.997312
7.7,7.8,3.1,1.29,1.4,0.16,0.2,1.43,0.97,4.2,21.337004,18.649336,56.110425
7.5,7.8,3.5,1.3,1.79,0.23,0.2,1.9,1.12,4.19,20.458437,19.166838,61.221991
7.8,7.8,3.1,1.28,1.4,0.18,0.2,1.76,0.93,4.2,21.190973,18.699203,57.231157
7.9,7.8,3.1,1.28,1.4,0.22,0.2,1.45,1.18,4.2,21.261822,18.771097,59.213643
7.6,7.8,3.4,1.28,1.7,0.23,0.2,1.92,1.06,4.01,20.519373,19.065125,60.58036
7.6,7.8,3.1,1.28,1.4,0.21,0.2,1.43,1.12,0.98,21.840895,18.880262,60.983047
7.8,7.8,3.1,1.28,1.41,0.16,0.2,1.43,1.11,4.19,21.552313,18.641106,57.342738
